gamesid,appName,appType,price,release_Date,rating,requiredAge,is_Multiplayer,steam_appid,average_forever,owners,achievement,ownersNumerical
332410,Moonchild,game,9.99,2016-04-22 00:00:00,-1,0,0,332410,0,"20,000 .. 50,000",No,35000
332480,Phoenix Force,game,4.99,2014-11-13 00:00:00,-1,0,0,332480,333,"50,000 .. 100,000",No,75000
332490,Battle Fleet 2,game,14.99,2014-11-20 00:00:00,-1,0,1,332490,0,"20,000 .. 50,000",No,35000
332500,GRAV,game,19.99,2015-01-08 00:00:00,-1,0,1,332500,509,"500,000 .. 1,000,000",No,750000
332530,Shutshimi,game,9.99,2015-08-25 00:00:00,-1,0,0,332530,0,"50,000 .. 100,000",No,75000
332540,We Slay Monsters,game,4.99,2014-11-17 00:00:00,-1,0,0,332540,0,"0 .. 20,000",No,10000
332570,Amazing Frog?,game,15.99,2014-11-21 00:00:00,-1,0,0,332570,646,"200,000 .. 500,000",No,250000
332580,Mimpi,game,4.99,2015-01-20 00:00:00,-1,0,0,332580,0,"0 .. 20,000",No,10000
332610,Mystik Belle,game,9.99,2015-05-22 00:00:00,-1,0,0,332610,0,"0 .. 20,000",No,10000
332620,PONCHO,game,14.99,2015-11-03 00:00:00,62,0,0,332620,0,"20,000 .. 50,000",No,35000
332630,The Guilt and the Shadow,game,8.99,2015-02-02 00:00:00,-1,0,0,332630,0,"0 .. 20,000",No,10000
332710,1Quest,game,6.99,2014-12-03 00:00:00,-1,0,0,332710,55,"50,000 .. 100,000",No,75000
332730,Barbarian Brawl,game,9.99,2015-02-12 00:00:00,-1,0,1,332730,0,"0 .. 20,000",No,10000
332780,National Zombie Park,game,7.99,2014-12-15 00:00:00,-1,0,1,332780,210,"100,000 .. 200,000",No,150000
332790,Darkness Assault,game,1.99,2015-02-06 00:00:00,-1,0,0,332790,276,"200,000 .. 500,000",No,250000
332800,Five Nights at Freddy's 2,game,7.99,2014-11-10 00:00:00,62,0,0,332800,171,"500,000 .. 1,000,000",No,750000
332810,Midnight Mysteries: Witches of Abraham - Collector's Edition,game,13.99,2014-11-24 00:00:00,-1,0,0,332810,0,"20,000 .. 50,000",No,35000
332830,Prelogate,game,3.99,2014-12-10 00:00:00,-1,0,0,332830,0,"0 .. 20,000",No,10000
332880,Don't Shoot Yourself!,game,4.99,2015-04-10 00:00:00,-1,0,0,332880,0,"0 .. 20,000",No,10000
